| epoch   1 | step   2000 | train loss    0.014 | train acc    100.0%
| eval in epoch   1 | val loss:    0.070 | val acc:     98.3%
| epoch   1 | step   2100 | train loss    0.026 | train acc    100.0%
| epoch   1 | step   2200 | train loss    0.001 | train acc    100.0%
| epoch   1 | step   2300 | train loss    0.054 | train acc     96.9%
| epoch   1 | step   2400 | train loss    0.001 | train acc    100.0%
| epoch   1 | step   2500 | train loss    0.008 | train acc    100.0%
| epoch   1 | step   2600 | train loss    0.005 | train acc    100.0%
| epoch   1 | step   2700 | train loss    0.036 | train acc     96.9%
| epoch   1 | step   2800 | train loss    0.055 | train acc     96.9%
| epoch   2 | step    100 | train loss    0.002 | train acc    100.0%
| epoch   2 | step    200 | train loss    0.026 | train acc    100.0%
| epoch   2 | step    300 | train loss    0.021 | train acc    100.0%
| epoch   2 | step    400 | train loss    0.004 | train acc    100.0%
| epoch   2 | step    500 | train loss    0.014 | train acc    100.0%
| epoch   2 | step    600 | train loss    0.002 | train acc    100.0%
| epoch   2 | step    700 | train loss    0.011 | train acc    100.0%
| epoch   2 | step    800 | train loss    0.006 | train acc    100.0%
| epoch   2 | step    900 | train loss    0.049 | train acc     96.9%
| epoch   2 | step   1000 | train loss    0.017 | train acc    100.0%
| eval in epoch   2 | val loss:    0.064 | val acc:     98.2%
| epoch   2 | step   1100 | train loss    0.083 | train acc     96.9%
| epoch   2 | step   1200 | train loss    0.013 | train acc    100.0%
| epoch   2 | step   1300 | train loss    0.002 | train acc    100.0%
| epoch   2 | step   1400 | train loss    0.008 | train acc    100.0%
| epoch   2 | step   1500 | train loss    0.133 | train acc     96.9%
| epoch   2 | step   1600 | train loss    0.013 | train acc    100.0%
| epoch   2 | step   1700 | train loss    0.026 | train acc    100.0%
| epoch   2 | step   1800 | train loss    0.015 | train acc    100.0%
| epoch   2 | step   1900 | train loss    0.018 | train acc    100.0%
| epoch   2 | step   2000 | train loss    0.002 | train acc    100.0%
| eval in epoch   2 | val loss:    0.059 | val acc:     98.5%
| epoch   2 | step   2100 | train loss    0.174 | train acc     96.9%
| epoch   2 | step   2200 | train loss    0.044 | train acc     96.9%
| epoch   2 | step   2300 | train loss    0.021 | train acc    100.0%
| epoch   2 | step   2400 | train loss    0.004 | train acc    100.0%
| epoch   2 | step   2500 | train loss    0.001 | train acc    100.0%
| epoch   2 | step   2600 | train loss    0.004 | train acc    100.0%
| epoch   2 | step   2700 | train loss    0.001 | train acc    100.0%
| epoch   2 | step   2800 | train loss    0.037 | train acc     96.9%
| epoch   3 | step    100 | train loss    0.000 | train acc    100.0%
| epoch   3 | step    200 | train loss    0.004 | train acc    100.0%
| epoch   3 | step    300 | train loss    0.002 | train acc    100.0%
| epoch   3 | step    400 | train loss    0.003 | train acc    100.0%
| epoch   3 | step    500 | train loss    0.005 | train acc    100.0%
| epoch   3 | step    600 | train loss    0.006 | train acc    100.0%
| epoch   3 | step    700 | train loss    0.012 | train acc    100.0%
| epoch   3 | step    800 | train loss    0.010 | train acc    100.0%
| epoch   3 | step    900 | train loss    0.064 | train acc     96.9%
| epoch   3 | step   1000 | train loss    0.001 | train acc    100.0%
| eval in epoch   3 | val loss:    0.058 | val acc:     98.2%
| epoch   3 | step   1100 | train loss    0.013 | train acc    100.0%
| epoch   3 | step   1200 | train loss    0.007 | train acc    100.0%
| epoch   3 | step   1300 | train loss    0.009 | train acc    100.0%
| epoch   3 | step   1400 | train loss    0.001 | train acc    100.0%
| epoch   3 | step   1500 | train loss    0.008 | train acc    100.0%
| epoch   3 | step   1600 | train loss    0.004 | train acc    100.0%
| epoch   3 | step   1700 | train loss    0.002 | train acc    100.0%
| epoch   3 | step   1800 | train loss    0.046 | train acc     96.9%
| epoch   3 | step   1900 | train loss    0.033 | train acc     96.9%
| epoch   3 | step   2000 | train loss    0.003 | train acc    100.0%
| eval in epoch   3 | val loss:    0.058 | val acc:     98.6%
| epoch   3 | step   2100 | train loss    0.002 | train acc    100.0%
| epoch   3 | step   2200 | train loss    0.003 | train acc    100.0%
| epoch   3 | step   2300 | train loss    0.154 | train acc     96.9%
| epoch   3 | step   2400 | train loss    0.237 | train acc     96.9%
| epoch   3 | step   2500 | train loss    0.001 | train acc    100.0%
| epoch   3 | step   2600 | train loss    0.183 | train acc     96.9%
| epoch   3 | step   2700 | train loss    0.002 | train acc    100.0%
| epoch   3 | step   2800 | train loss    0.011 | train acc    100.0%
| epoch   4 | step    100 | train loss    0.001 | train acc    100.0%
| epoch   4 | step    200 | train loss    0.002 | train acc    100.0%
| epoch   4 | step    300 | train loss    0.004 | train acc    100.0%
| epoch   4 | step    400 | train loss    0.015 | train acc    100.0%
| epoch   4 | step    500 | train loss    0.000 | train acc    100.0%
| epoch   4 | step    600 | train loss    0.002 | train acc    100.0%
